КлиентНомер;КлиентКрНаим;Прибыль, usd;Цена суммарная;Себестоимость по Заказу , usd;Прибыль с учетом рибейтов;Объём по Накладной, м3;Общее Количество Заказов;Коррекция продактов ЦО в РБЮ;Коррекция продактов сейлам;Количество шт. в Накладной;Заказ Количество Строк;Доход конвертационный, usd
К0035247;Урал-Гарант;3414,6;12294,94;8880,34;3414,6;1,564054;18;29,2516;0;138;44;106,6136
К0035317;"ООО ""ТРИТОН""";0,77;1370,65;1369,88;0,77;0,0663;1;0;0;5;1;0
К0035369;Прус С.М. (г. Ханты-Мансийск);611,76;2314,33;1702,57;611,76;0,218128;5;0;0;25;12;0
К0035468;КПК;142,62;2157,41;2014,79;142,62;0,108735;16;38,15;271,87;49;20;42,9748
К0035487;Сервис Трейдинг;3,95;229,08;225,13;3,95;0,006836;2;0;0;5;5;0
К0035537;Компания ПРОФИТСФЕРА;1048,87;10356,45;9307,58;1048,87;1,28657;30;76,288;0;109;62;109,0836
К0035540;Тахион;-4,71;455,19;459,9;-4,71;0,056135;2;15,69;0;9;8;16,068
К0035624;Меркурий;374,3;6624,06;6249,76;374,3;0,23987;17;92,898;0;146;39;248,1004
К0035631;Интернет-магазин Япет;4528,48;28068,92;23540,44;4528,48;18,026964;61;11,4823;0;110;111;10,32
К0035641;Системнефтеавтоматика;351,51;4351,16;3999,65;351,51;0,637398;7;10,5339;0;54;30;124,2532
К0035702;Строй Индустрия, ООО;3258,62;16405,88;13147,26;3258,62;7,910074;12;0;0;149;87;291,2056
К0035706;ТехУрал;454,8;2966,8;2512;454,8;2,442122;2;0;0;8;8;0
К0035740;ООО  «ТехноЛайн»;206,87;1449,58;1242,71;206,87;0,03136;6;0;0;29;17;0
К0035778;ООО «ИнтерБытТехника»;25495,4;113271,72;87776,32;25495,4;53,298457;5;0;0;158;157;0
К0035914;Р-Тест;126,06;844,34;718,28;126,06;0,074638;4;0;0;4;4;0
К0035934;магазин «Техно НТ»;1470,48;11824,66;10354,18;1470,48;9,854545;4;0;0;52;35;0
К0036061;Стол Заказов Пермь;3456,86;19848,1;16391,24;3456,86;10,390189;27;0;0;59;56;17
К0036215;Печёркинское потребительское общество;6,86;1343,57;1336,71;6,86;3,039704;1;0;0;5;4;0
К0036245;Вектор Тренда;101,59;525,46;423,87;101,59;0,064915;2;0;0;7;2;0
К0036247;ИП Козлов Сергей Егорович;2110,89;19230,17;17119,28;2110,89;0,334468;9;10,26;0;174;44;10,5
К0036257;Ин Нова (г. Тюмень);15478,9;107726,44;92247,54;15478,9;4,359845;22;4380,9237;0;438;112;313,4429
К0036267;инет-магазин i-ekb.ru;1328,02;8796,88;7468,86;1328,02;0,186207;8;159,14;159,14;55;37;0
К0036368;КоммерсантЪ (г.Тюмень);406,5;2654,22;2247,72;406,5;0,509604;23;9,4768;0;108;56;53,5112
К0036436;ООО «АйТиБи»;4905,15;22918,19;18013,04;4905,15;13,749671;18;3,9345;417,41;56;51;12,5584
К0036489;ООО «Риланс»;31,29;6290,58;6259,29;31,29;0,126944;6;669,8208;0;70;14;41,26
К0036525;"ООО ""Интерком"" (г. Тюмень)";312,33;7944,13;7631,8;312,33;0,183794;8;242,405;0;221;54;277,0532
К0036569;ИНФОКОМПАНИ;371,85;3280,84;2908,99;371,85;0,393058;9;8,047;0;61;49;65,4792
